year,month,day,doy,LAI,errLAI
2019,5,8,128,1.5055555555555555,0.5764520045764842
2019,5,22,142,1.4558333333333335,0.560953429439557
2019,6,3,154,2.796111111111111,0.38447133817300766
2019,6,4,155,4.3691249999999995,1.3916562618124013
2019,6,5,156,4.3691249999999995,1.3916562618124013
2019,6,6,157,4.3691249999999995,1.3916562618124013
2019,6,11,162,4.3691249999999995,1.3916562618124013
2019,6,12,163,4.3691249999999995,1.3916562618124013
2019,6,13,164,4.3691249999999995,1.3916562618124013
2019,6,14,165,4.3691249999999995,1.3916562618124013
2019,6,18,169,4.3691249999999995,1.3916562618124013
2019,6,19,170,5.476944444444445,0.6972319056432469
2019,6,19,170,4.3691249999999995,1.3916562618124013
2019,6,20,171,4.3691249999999995,1.3916562618124013
2019,6,30,181,4.8052777777777775,0.521261749726944
2019,7,17,198,4.456388888888889,0.5515944201322088
2019,7,30,211,4.248888888888889,0.5942351656530985
2019,8,13,225,4.539444444444444,0.5772730166935478
2019,8,26,238,4.844166666666666,0.5996914716011151
2019,9,9,252,4.601388888888889,0.5398052775347061
2019,9,23,266,3.5744444444444445,0.6129230713213729
2019,10,8,281,3.158333333333333,0.8459823349876231
2020,7,6,188,4.663333333333334,0.6659079015399452
2020,7,30,212,4.3933333333333335,0.6373643646559898
2020,8,10,223,4.343611111111112,0.6058976480203098
2020,8,24,237,4.41861111111111,0.5194663542616369
2020,9,9,253,4.304166666666667,0.6490650326944648
2020,9,24,268,3.4858333333333333,0.7119276453560587
2020,10,6,280,2.344444444444444,0.5315148395777469
2021,4,20,110,2.080285714285715,0.6266258200611805
2021,5,3,123,1.6027777777777779,0.5336333068436035
2021,5,20,140,2.5430555555555556,0.6848025645900692
2021,6,2,153,3.7695833333333333,0.48578526777670905
2021,6,14,165,4.2825000000000015,0.5380126753979769
2021,6,29,180,4.604166666666667,0.7624098307341006
2021,7,14,195,4.7058333333333335,0.7307962742409436
2021,7,27,208,4.849166666666667,0.712925798694678
2021,8,9,221,4.656111111111111,0.5183857303515392
2021,8,11,223,4.656111111111111,0.5183857303515392
2021,8,24,236,4.426666666666666,0.6189507250177513
2021,9,8,251,4.858888888888888,0.7122256890191236
2021,9,21,264,4.244722222222221,0.8182586052475882
2021,10,4,277,2.7475000000000005,0.5815944319999404
